cart_id,customer_id,total_price
1,1,3000
2,2,500
3,3,1500
4,4,1000
5,5,1000
6,6,2500
7,7,1500
8,8,1000
9,9,500
10,10,3000
11,11,2000
12,12,3000
13,13,2500
14,14,1000
15,15,500
16,16,2500
17,17,1500
18,18,2500
19,19,1500
20,20,500
21,21,500
22,22,1500
23,23,2000
24,24,3000
25,25,1500
26,26,3000
27,27,3000
28,28,3000
29,29,1500
30,30,500
31,31,3000
32,32,2500
33,33,3000
34,34,1500
35,35,1500
36,36,500
37,37,3000
38,38,3000
39,39,2500
40,40,3000
41,41,1000
42,42,1500
43,43,1000
44,44,2000
45,45,1000
46,46,1000
47,47,3000
48,48,3000
49,49,500
50,50,1000
51,51,3000
52,52,3000
53,53,1500
54,54,500
55,55,2000
56,56,500
57,57,500
58,58,3000
59,59,3000
60,60,500
61,61,1500
62,62,500
63,63,1000
64,64,3000
65,65,1500
66,66,3000
67,67,3000
68,68,3000
69,69,3000
70,70,2000
71,71,3000
72,72,1500
73,73,1000
74,74,1500
75,75,3000
76,76,3000
77,77,1500
78,78,500
79,79,1000
80,80,1000
81,81,500
82,82,3000
83,83,3000
84,84,3000
85,85,1500
86,86,2000
87,87,1500
88,88,2500
89,89,2500
90,90,1500
91,91,1000
92,92,2000
93,93,2500
94,94,3000
95,95,3000
96,96,1000
97,97,3000
98,98,2500
99,99,3000
100,100,2000
101,101,1000
102,102,3000
103,103,1500
104,104,1500
105,105,1500
106,106,3000
107,107,3000
108,108,2000
109,109,500
110,110,1500
111,111,1000
112,112,1000
113,113,2500
114,114,1000
115,115,2500
116,116,3000
117,117,3000
118,118,3000
119,119,1500
120,120,3000
121,121,1000
122,122,1500
123,123,2000
124,124,1500
125,125,1500
126,126,500
127,127,1000
128,128,1500
129,129,500
130,130,1000
131,131,500
132,132,1500
133,133,2500
134,134,2500
135,135,3000
136,136,500
137,137,1500
138,138,2500
139,139,2000
140,140,1500
141,141,3000
142,142,1000
143,143,2500
144,144,2500
145,145,1500
146,146,1500
147,147,1500
148,148,1500
149,149,1000
150,150,3000
151,151,2000
152,152,3000
153,153,500
154,154,3000
155,155,3000
156,156,3000
157,157,2500
158,158,3000
159,159,3000
160,160,1000
161,161,3000
162,162,1500
163,163,3000
164,164,2500
165,165,1500
166,166,500
167,167,3000
168,168,500
169,169,3000
170,170,1500
171,171,1500
172,172,3000
173,173,3000
174,174,3000
175,175,1500
176,176,500
177,177,1500
178,178,1500
179,179,2500
180,180,2500
181,181,3000
182,182,2500
183,183,3000
184,184,3000
185,185,1500
186,186,2000
187,187,2000
188,188,1500
189,189,2500
190,190,2500
191,191,500
192,192,1000
193,193,1000
194,194,3000
195,195,3000
196,196,3000
197,197,1500
198,198,500
199,199,1500
200,200,3000
201,201,1500
202,202,2500
203,203,500
204,204,3000
205,205,1000
206,206,2500
207,207,3000
208,208,3000
209,209,2500
210,210,3000
211,211,3000
212,212,3000
213,213,1000
214,214,2500
215,215,1000
216,216,500
217,217,1500
218,218,1500
219,219,1000
220,220,1000
221,221,500
222,222,3000
223,223,2500
224,224,1000
225,225,3000
226,226,1500
227,227,2000
228,228,2000
229,229,500
230,230,500
231,231,3000
232,232,500
233,233,500
234,234,3000
235,235,3000
236,236,500
237,237,500
238,238,3000
239,239,2000
240,240,500
241,241,1000
242,242,3000
243,243,3000
244,244,500
245,245,1500
246,246,500
247,247,1500
248,248,3000
249,249,1500
250,250,3000
251,251,500
252,252,3000
253,253,2500
254,254,500
255,255,500
256,256,3000
257,257,2500
258,258,1000
259,259,1500
260,260,3000
261,261,1500
262,262,1500
263,263,2500
264,264,3000
265,265,3000
266,266,500
267,267,2500
268,268,500
269,269,3000
270,270,1500
271,271,3000
272,272,3000
273,273,500
274,274,2500
275,275,1500
276,276,2000
277,277,1500
278,278,3000
279,279,2500
280,280,3000
281,281,3000
282,282,3000
283,283,500
284,284,2000
285,285,1500
286,286,3000
287,287,1500
